Dataenergy_production_total.csv
,
3
year,country,rate
1976,Portugal,1160
1977,Portugal,1640
1978,Portugal,1740
1979,Portugal,1810
1980,Portugal,1480
1981,Portugal,1250
1982,Portugal,1450
1983,Portugal,1600
1984,Portugal,1740
1985,Portugal,1940
1986,Portugal,1850
1987,Portugal,1950
1988,Portugal,2220
1989,Portugal,2490
1990,Portugal,3390
1991,Portugal,3400
1992,Portugal,2940
1993,Portugal,3280
1994,Portugal,3490
1995,Portugal,3320
1996,Portugal,3790
1997,Portugal,3750
1998,Portugal,3730
1999,Portugal,3370
2000,Portugal,3850
2001,Portugal,4100
2002,Portugal,3640
2003,Portugal,4340
2004,Portugal,3900
2005,Portugal,3610
2006,Portugal,4370
2007,Portugal,4650
2008,Portugal,4490
2009,Portugal,4890
2010,Portugal,5960
1960,Qatar,
1961,Qatar,
1962,Qatar,
1963,Qatar,
1964,Qatar,
1965,Qatar,
1966,Qatar,
1967,Qatar,
1968,Qatar,
1969,Qatar,
1970,Qatar,
1971,Qatar,22000
1972,Qatar,25000
1973,Qatar,29500
1974,Qatar,26400
1975,Qatar,23700
1976,Qatar,26200
1977,Qatar,23400
1978,Qatar,25200
1979,Qatar,27500
1980,Qatar,26500
1981,Qatar,24200
1982,Qatar,21000
1983,Qatar,19600
1984,Qatar,25800
1985,Qatar,20800
1986,Qatar,22000
1987,Qatar,20500
1988,Qatar,22100
1989,Qatar,25500
1990,Qatar,26600
1991,Qatar,26800
1992,Qatar,29200
1993,Qatar,28700
1994,Qatar,28300
1995,Qatar,28700
1996,Qatar,29500
1997,Qatar,40200
1998,Qatar,46000
1999,Qatar,53200
2000,Qatar,59200
2001,Qatar,63100
2002,Qatar,67700
2003,Qatar,71900
2004,Qatar,87900
2005,Qatar,93100
2006,Qatar,102000
2007,Qatar,113000
2008,Qatar,133000
2009,Qatar,140000
1960,Romania,
1961,Romania,
1962,Romania,
1963,Romania,
1964,Romania,
1965,Romania,
1966,Romania,
1967,Romania,
1968,Romania,
1969,Romania,
1970,Romania,
1971,Romania,42800
1972,Romania,44400
1973,Romania,46200
1974,Romania,47500
1975,Romania,50000
1976,Romania,52100
1977,Romania,54100
1978,Romania,54000
1979,Romania,51900
1980,Romania,52600
1981,Romania,54700
1982,Romania,55200
1983,Romania,55900
1984,Romania,55700
1985,Romania,54300
1986,Romania,54000
1987,Romania,52600
1988,Romania,53500
1989,Romania,49800
1990,Romania,40800
1991,Romania,36000
1992,Romania,34500
1993,Romania,33400
1994,Romania,31700
1995,Romania,32300
1996,Romania,32800
1997,Romania,31500
1998,Romania,28800
1999,Romania,27800
2000,Romania,28300
2001,Romania,27700
2002,Romania,29100
2003,Romania,29300
2004,Romania,28400
2005,Romania,27800
2006,Romania,27900
2007,Romania,27700
2008,Romania,28900
2009,Romania,28300
1960,Russia,
1961,Russia,
1962,Russia,
1963,Russia,
1964,Russia,
1965,Russia,
1966,Russia,
1967,Russia,
1968,Russia,
1969,Russia,
1970,Russia,
1971,Russia,
1972,Russia,
1973,Russia,
1974,Russia,
1975,Russia,
1976,Russia,
1977,Russia,
1978,Russia,
1979,Russia,
1980,Russia,
1981,Russia,
1982,Russia,
1983,Russia,
1984,Russia,
1985,Russia,
1986,Russia,
1987,Russia,
1988,Russia,
1989,Russia,
1990,Russia,1290000
1991,Russia,1220000
1992,Russia,1140000
1993,Russia,1060000
1994,Russia,991000
1995,Russia,968000
1996,Russia,965000
1997,Russia,933000
1998,Russia,940000
1999,Russia,962000
2000,Russia,978000
2001,Russia,1010000
2002,Russia,1050000
2003,Russia,1120000
2004,Russia,1170000
2005,Russia,1200000
2006,Russia,1230000
2007,Russia,1240000
2008,Russia,1250000
2009,Russia,1180000
1960,Saudi Arabia,
1961,Saudi Arabia,
1962,Saudi Arabia,
1963,Saudi Arabia,
1964,Saudi Arabia,
1965,Saudi Arabia,
1966,Saudi Arabia,
1967,Saudi Arabia,
1968,Saudi Arabia,
1969,Saudi Arabia,
1970,Saudi Arabia,
